,Title,Resolution,HelpTopic,approved
0,Need Ethernet access,Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss,Network & Wireless,0
1,Need a LAN Cable,Please come to IT desk and collect.,Accessories,0
2,Need a laptop Conector.,Please come to IT desk and collect.,Accessories,0
3,Need a mouse,hello Raj Ganpur<br /><br />please come to It desk and collect the mouse.,Accessories,0
4,Mouse replacement is needed.,hello Raj Ganpur<br /><br />we are replaced the another mouse.<br />hence we closed.<br /><br />Thanks&amp;Regards<br />kumaraswamy annepu,Accessories,0
8,Create new account and share the username and password,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",Access Requests,0
9,USB Enabling,"As you requested, we have enabled USB access on your laptop. Please check and confirm it.",Access Requests,0
18,Request to create login credentials for Mr. Koti,We have already created account and details have been sent to his personal Email ID,Access Requests,0
19,Request to create login credentials for Dr. Hasan,Account created and details sent to user's personal email ID,Access Requests,0
20,FW: Myspace Login Issue-- Ania,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",Access Requests,0
21,Login credetials are not working.,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",Access Requests,0
32,Not able to proceed further in ticket.abc.com after logging in,Resolved. Please check the same now.,Access Requests,0
33,New Account is needed for a new joinee.,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",Access Requests,0
34,Re: Unable to access outlook and myspace [user id: sdash],"We have reset the password and communicated to user in a mail already, now user is able to login. Hence marking the ticket resolved",Access Requests,0
48,Removing Person A and Adding Person B to ABC Project,Changes have been done as per the request. Hence closing the request.,Access Requests,0
74,Name Correction in mail id,Change has been done.,Access Requests,0
77,Request to configure the system to share it among users,They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.,Access Requests,0
91,Unable to connect to internet using wifi network inn009,"inn009 is removed, connect to inn001. Connect IT helpdesk if any more issues.",Network & Wireless,0
